date,value
1996-01-31,90318
1996-01-31,169960
1996-01-31,169804
1996-01-31,136243
1996-01-31,157893
1996-01-31,128795
1996-01-31,155728
1996-02-29,90226
1996-02-29,170851
1996-02-29,170466
1996-02-29,136694
1996-02-29,158169
1996-02-29,129245
1996-02-29,156826
1996-03-31,90522
1996-03-31,171281
1996-03-31,170880
1996-03-31,136818
1996-03-31,158291
1996-03-31,129442
1996-03-31,157220
1996-04-30,90376
1996-04-30,172228
1996-04-30,171750
1996-04-30,137234
1996-04-30,158496
1996-04-30,129928
1996-04-30,158535
1996-05-31,90485
1996-05-31,173210
1996-05-31,172876
1996-05-31,137965
1996-05-31,159114
1996-05-31,130713
1996-05-31,160168
1996-06-30,90289
1996-06-30,174781
1996-06-30,174648
1996-06-30,139273
1996-06-30,160251
1996-06-30,132032
1996-06-30,162632
1996-07-31,90523
1996-07-31,177096
1996-07-31,177275
1996-07-31,141107
1996-07-31,162292
1996-07-31,133918
1996-07-31,165357
1996-08-31,90686
1996-08-31,179721
1996-08-31,180108
1996-08-31,142959
1996-08-31,164491
1996-08-31,135829
1996-08-31,167594
1996-09-30,90679
1996-09-30,182123
1996-09-30,182737
1996-09-30,144823
1996-09-30,166597
1996-09-30,137778
1996-09-30,168495
1996-10-31,90650
1996-10-31,184748
1996-10-31,185212
1996-10-31,146866
1996-10-31,168510
1996-10-31,139749
1996-10-31,169286
1996-11-30,90323
1996-11-30,187822
1996-11-30,188262
1996-11-30,149197
1996-11-30,170715
1996-11-30,142105
1996-11-30,170566
1996-12-31,90222
1996-12-31,191466
1996-12-31,191859
1996-12-31,151764
1996-12-31,173462
1996-12-31,144754
1996-12-31,173162
1997-01-31,90497
1997-01-31,193773
1997-01-31,194264
1997-01-31,153457
1997-01-31,175121
1997-01-31,146500
1997-01-31,175389
1997-02-28,91208
1997-02-28,194982
1997-02-28,195827
1997-02-28,154614
1997-02-28,176237
1997-02-28,147677
1997-02-28,176456
1997-03-31,91924
1997-03-31,196319
1997-03-31,197337
1997-03-31,156088
1997-03-31,177270
1997-03-31,149090
1997-03-31,178213
1997-04-30,92287
1997-04-30,199059
1997-04-30,200288
1997-04-30,158491
1997-04-30,179704
1997-04-30,151600
1997-04-30,180264
1997-05-31,91968
1997-05-31,201926
1997-05-31,202934
1997-05-31,160614
1997-05-31,181731
1997-05-31,153819
1997-05-31,182511
1997-06-30,91804
1997-06-30,203323
1997-06-30,203815
1997-06-30,161404
1997-06-30,182531
1997-06-30,154671
1997-06-30,183370
1997-07-31,149888
1997-07-31,91828
1997-07-31,131375
1997-07-31,202697
1997-07-31,202618
1997-07-31,160775
1997-07-31,181430
1997-07-31,154082
1997-07-31,183165
1997-08-31,91810
1997-08-31,151333
1997-08-31,92294
1997-08-31,131850
1997-08-31,201108
1997-08-31,200573
1997-08-31,159699
1997-08-31,179619
1997-08-31,153107
1997-08-31,183761
1997-09-30,92755
1997-09-30,152304
1997-09-30,92728
1997-09-30,132298
1997-09-30,200268
1997-09-30,199365
1997-09-30,158842
1997-09-30,178309
1997-09-30,152355
1997-09-30,186566
1997-10-31,93325
1997-10-31,154083
1997-10-31,92792
1997-10-31,133296
1997-10-31,199577
1997-10-31,198691
1997-10-31,157957
1997-10-31,177677
1997-10-31,151849
1997-10-31,190163
1997-11-30,94272
1997-11-30,154682
1997-11-30,92992
1997-11-30,134293
1997-11-30,198461
1997-11-30,197444
1997-11-30,156834
1997-11-30,176915
1997-11-30,150856
1997-11-30,192594
1997-12-31,95038
1997-12-31,155206
1997-12-31,92897
1997-12-31,135134
1997-12-31,197013
1997-12-31,196036
1997-12-31,155884
1997-12-31,176014
1997-12-31,149926
1997-12-31,193434
1998-01-31,95731
1998-01-31,155566
1998-01-31,92605
1998-01-31,136199
1998-01-31,197288
1998-01-31,195964
1998-01-31,156028
1998-01-31,176281
1998-01-31,150101
1998-01-31,194535
1998-02-28,96084
1998-02-28,156220
1998-02-28,91698
1998-02-28,136883
1998-02-28,198615
1998-02-28,196866
1998-02-28,156801
1998-02-28,177386
1998-02-28,151044
1998-02-28,197250
1998-03-31,96603
1998-03-31,156143
1998-03-31,90064
1998-03-31,137550
1998-03-31,199557
1998-03-31,197436
1998-03-31,157064
1998-03-31,178220
1998-03-31,151432
1998-03-31,198967
1998-04-30,97635
1998-04-30,156291
1998-04-30,89779
1998-04-30,137604
1998-04-30,198910
1998-04-30,196571
1998-04-30,156411
1998-04-30,177889
1998-04-30,150708
1998-04-30,200549
1998-05-31,98741
1998-05-31,156734
1998-05-31,90032
1998-05-31,137612
1998-05-31,197945
1998-05-31,195514
1998-05-31,155391
1998-05-31,177182
1998-05-31,149689
1998-05-31,200574
1998-06-30,99167
1998-06-30,157485
1998-06-30,90625
1998-06-30,56389
1998-06-30,137668
1998-06-30,197680
1998-06-30,195445
1998-06-30,155038
1998-06-30,177092
1998-06-30,149498
1998-06-30,200988
1998-07-31,99067
1998-07-31,159125
1998-07-31,90102
1998-07-31,57018
1998-07-31,137599
1998-07-31,198560
1998-07-31,196349
1998-07-31,155522
1998-07-31,177673
1998-07-31,150047
1998-07-31,202550
1998-08-31,98823
1998-08-31,159537
1998-08-31,89376
1998-08-31,57664
1998-08-31,137751
1998-08-31,200013
1998-08-31,197934
1998-08-31,156633
1998-08-31,178984
1998-08-31,151109
1998-08-31,204097
1998-09-30,98362
1998-09-30,160153
1998-09-30,89188
1998-09-30,59074
1998-09-30,137754
1998-09-30,200827
1998-09-30,198749
1998-09-30,157382
1998-09-30,179864
1998-09-30,151750
1998-09-30,205342
1998-10-31,97919
1998-10-31,159622
1998-10-31,89498
1998-10-31,60577
1998-10-31,137789
1998-10-31,200915
1998-10-31,199133
1998-10-31,157833
1998-10-31,180322
1998-10-31,152037
1998-10-31,205157
1998-11-30,98677
1998-11-30,160788
1998-11-30,90108
1998-11-30,62151
1998-11-30,137640
1998-11-30,200686
1998-11-30,199105
1998-11-30,157996
1998-11-30,180431
1998-11-30,152217
1998-11-30,205719
1998-12-31,99938
1998-12-31,161594
1998-12-31,90704
1998-12-31,63354
1998-12-31,137545
1998-12-31,199638
1998-12-31,198021
1998-12-31,157313
1998-12-31,179500
1998-12-31,151604
1998-12-31,205192
1999-01-31,101954
1999-01-31,162535
1999-01-31,90616
1999-01-31,63893
1999-01-31,70213
1999-01-31,136690
1999-01-31,198931
1999-01-31,197560
1999-01-31,156946
1999-01-31,179236
1999-01-31,151351
1999-01-31,205659
1999-02-28,104088
1999-02-28,163246
1999-02-28,90854
1999-02-28,64103
1999-02-28,70700
1999-02-28,136274
1999-02-28,198649
1999-02-28,197524
1999-02-28,156733
1999-02-28,179082
1999-02-28,151183
1999-02-28,205603
1999-03-31,105744
1999-03-31,165499
1999-03-31,91010
1999-03-31,64508
1999-03-31,71495
1999-03-31,135853
1999-03-31,199644
1999-03-31,198835
1999-03-31,157508
1999-03-31,180234
1999-03-31,152106
1999-03-31,208127
1999-04-30,105553
1999-04-30,166997
1999-04-30,91308
1999-04-30,65257
1999-04-30,72815
1999-04-30,136394
1999-04-30,200388
1999-04-30,199580
1999-04-30,157927
1999-04-30,180744
1999-04-30,152687
1999-04-30,209237
1999-05-31,105348
1999-05-31,167237
1999-05-31,91839
1999-05-31,66067
1999-05-31,74502
1999-05-31,136808
1999-05-31,200665
1999-05-31,200036
1999-05-31,158266
1999-05-31,181140
1999-05-31,153115
1999-05-31,211114
1999-06-30,105889
1999-06-30,166501
1999-06-30,92809
1999-06-30,66447
1999-06-30,76031
1999-06-30,137111
1999-06-30,200933
1999-06-30,200498
1999-06-30,158530
1999-06-30,181568
1999-06-30,153456
1999-06-30,212280
1999-07-31,107804
1999-07-31,166167
1999-07-31,93607
1999-07-31,66576
1999-07-31,77698
1999-07-31,137533
1999-07-31,201234
1999-07-31,200955
1999-07-31,158810
1999-07-31,182250
1999-07-31,153891
1999-07-31,213265
1999-08-31,109694
1999-08-31,167213
1999-08-31,93566
1999-08-31,66443
1999-08-31,79106
1999-08-31,137763
1999-08-31,201726
1999-08-31,201465
